,loss,top1_acc,top5_acc
0,1.8473002910614014,40.0,81.25
0,1.346083402633667,42.5,96.25
0,1.420256495475769,46.25,93.75
0,1.0929325819015503,56.25,98.75
0,1.168781042098999,58.75,96.25
0,0.8101280331611633,75.0,100.0
0,0.7310801148414612,77.5,96.25
0,0.8733261227607727,66.25,98.75
0,0.688812792301178,73.75,97.5
0,0.7161123156547546,78.75,97.5
0,0.6656181216239929,72.5,96.25
0,0.3353949189186096,90.0,98.75
0,0.23683515191078186,91.25,100.0
0,0.3447909355163574,85.0,100.0
0,0.1700836718082428,95.0,100.0
0,0.0870198905467987,97.5,100.0
0,0.1605626344680786,96.25,100.0
0,0.12858909368515015,95.0,100.0
0,0.15739336609840393,96.25,100.0
0,0.03454672917723656,100.0,100.0
0,0.01583751104772091,100.0,100.0
0,0.002260164823383093,100.0,100.0
0,0.001784047344699502,100.0,100.0
0,0.000790425285231322,100.0,100.0
0,0.00044687543413601816,100.0,100.0
0,0.00031385564943775535,100.0,100.0
0,0.0003260865923948586,100.0,100.0
0,0.0002854598278645426,100.0,100.0
0,0.00018859725969377905,100.0,100.0
0,0.00032365936203859746,100.0,100.0
0,0.00016161637904588133,100.0,100.0
0,0.00023130296904128045,100.0,100.0
0,7.494937017327175e-05,100.0,100.0
0,0.00016280384443234652,100.0,100.0
0,0.00010243010183330625,100.0,100.0
0,0.00027332379249855876,100.0,100.0
0,7.614797505084425e-05,100.0,100.0
0,0.00013871614646632224,100.0,100.0
0,0.0002108024200424552,100.0,100.0
0,0.00011235746933380142,100.0,100.0
0,9.688166028354317e-05,100.0,100.0
0,0.00015490726218558848,100.0,100.0
0,8.546318713342771e-05,100.0,100.0
0,8.119405538309366e-05,100.0,100.0
0,0.00010540718358242884,100.0,100.0
0,3.952642509830184e-05,100.0,100.0
0,0.00010101126827066764,100.0,100.0
0,7.126752461772412e-05,100.0,100.0
0,6.99227093718946e-05,100.0,100.0
0,6.321321416180581e-05,100.0,100.0
